addr	timept	g	range
129	0.0	1.907470703125e-05	15
129	0.01	1.9024658203124995e-05	15
129	4.0	2.3602294921874993e-05	15
129	1.0	2.2550048828124994e-05	15
129	100000.0	1.3052368164062502e-05	15
130	1.0	1.7630615234374994e-05	15
130	100000.0	1.0021362304687504e-05	15
130	0.01	1.89404296875e-05	15
130	0.1	1.9232177734375e-05	15
130	0.0	1.895263671874999e-05	15
131	0.1	2.1950683593749994e-05	16
131	1.0	2.062622070312499e-05	16
131	0.0	2.0886230468749993e-05	16
131	0.01	1.976928710937499e-05	16
131	4.0	2.2265624999999994e-05	16
131	100000.0	2.2933349609375e-05	16
132	0.1	1.4600830078124998e-05	11
